Precision, Recall img(a45.png)  : 0.9664176106692376, 0.9577229299363057
IOU img(b (58).png)  : 0.9468077449075074
Precision, Recall img(b (58).png)  : 0.9770300633205207, 0.9683629336523419
IOU img(b (21).png)  : 0.8834926919674824
Precision, Recall img(b (21).png)  : 0.9212895858040145, 0.9556244020228712
IOU img(a27.png)  : 0.9294943066365066
Precision, Recall img(a27.png)  : 0.9725999919765715, 0.954488188976378
IOU img(a107.png)  : 0.951665681056574
Precision, Recall img(a107.png)  : 0.9661396838102861, 0.9845018149190424
IOU img(a6.png)  : 0.7268072656345239
Precision, Recall img(a6.png)  : 0.7486187845303868, 0.9614578293823577
IOU img(a37.png)  : 0.9028222888452393
Precision, Recall img(a37.png)  : 0.9391332401333476, 0.9589326891402218
IOU img(a28.png)  : 0.9132125276450025
Precision, Recall img(a28.png)  : 0.948360807556955, 0.9609984984984985
IOU img(b (63).png)  : 0.9589694877557167
Precision, Recall img(b (63).png)  : 0.9895290461391346, 0.9688004681100059
IOU img(a20.png)  : 0.9196974171418186
Precision, Recall img(a20.png)  : 0.9690746325817415, 0.9475063774017646
IOU img(a72.png)  : 0.9258816497310222
Precision, Recall img(a72.png)  : 0.9459694008742607, 0.9775792200890188
IOU img(b (7).png)  : 0.9563888888888888
Precision, Recall img(b (7).png)  : 0.9734238054848742, 0.982030804335425
IOU img(b (148).png)  : 0.9124543395302328
Precision, Recall img(b (148).png)  : 0.9772692501038184, 0.9322394345641432
IOU img(a84.png)  : 0.9610617444033408
Precision, Recall img(a84.png)  : 0.9845672983004493, 0.9757608611476807
IOU img(b (130).png)  : 0.9450591316771172
Precision, Recall img(b (130).png)  : 0.9845375316277762, 0.9592974540767
IOU img(b (125).png)  : 0.9485525342212356
Precision, Recall img(b (125).png)  : 0.9797005230100542, 0.9675692249634417
IOU img(a60.png)  : 0.9539746113637907
Precision, Recall img(a60.png)  : 0.9807041418053666, 0.9722231830917707
IOU img(b (14).png)  : 0.9660430815382692
Precision, Recall img(b (14).png)  : 0.9877942272872511, 0.9777140568006916
IOU img(a95.png)  : 0.8986736926718171
Precision, Recall img(a95.png)  : 0.9498725573491928, 0.9434156860906662
IOU img(a92.png)  : 0.9134748791254993
Precision, Recall img(a92.png)  : 0.9523120753889984, 0.9572630744151209
IOU img(b (29).png)  : 0.9525255313276291
Precision, Recall img(b (29).png)  : 0.984312606959498, 0.9672085201793722
IOU img(a34.png)  : 0.9567965935145758
Precision, Recall img(a34.png)  : 0.9708521669768678, 0.9850942569048663
IOU img(a105.png)  : 0.918418013856813
Precision, Recall img(a105.png)  : 0.9505796581809489, 0.9644697750560844
IOU img(b (18).png)  : 0.9495274415519814
Precision, Recall img(b (18).png)  : 0.9695912769631913, 0.9786717708582562
IOU img(b (142).png)  : 0.9191078561917443
Precision, Recall img(b (142).png)  : 0.9452242382745635, 0.9708157524613221
IOU img(b (45).png)  : 0.9368253631640335
Precision, Recall img(b (45).png)  : 0.956563163137153, 0.9784491350860485
IOU img(a80.png)  : 0.9498841965209678
Precision, Recall img(a80.png)  : 0.966651622285743, 0.9820664357040962
IOU img(b (144).png)  : 0.9503683389794053
Precision, Recall img(b (144).png)  : 0.9748662413355642, 0.9742393061884462
IOU img(b (37).png)  : 0.9547290850402972
Precision, Recall img(b (37).png)  : 0.9756649101697025, 0.9780185500977415
IOU img(a46.png)  : 0.8960845326072864
Precision, Recall img(a46.png)  : 0.9489908004943018, 0.9414288633113124
IOU img(b (57).png)  : 0.9499906208966423
Precision, Recall img(b (57).png)  : 0.9806113492022512, 0.9681760829945325
IOU img(b (105).png)  : 0.9496248660235799
Precision, Recall img(b (105).png)  : 0.98046248950622, 0.9679412318704087
IOU img(a93.png)  : 0.8591191417278374
Precision, Recall img(a93.png)  : 0.8879486431281004, 0.9635845471817606
IOU img(b (84).png)  : 0.9359782144382742
Precision, Recall img(b (84).png)  : 0.9712971685044606, 0.9626029654036243
IOU img(a10.png)  : 0.9524444868007242
Precision, Recall img(a10.png)  : 0.976262576926834, 0.9750243902439024
IOU img(b (15).png)  : 0.9717222971008748
Precision, Recall img(b (15).png)  : 0.9847212737181805, 0.9865972604209989
IOU img(b (72).png)  : 0.9520338008982354
Precision, Recall img(b (72).png)  : 0.9685679637930661, 0.9823850470574024
IOU img(b (10).png)  : 0.9603935576862819
Precision, Recall img(b (10).png)  : 0.9780874375066483, 0.9815119233150446
IOU img(b (46).png)  : 0.8875269691379256
Precision, Recall img(b (46).png)  : 0.9100352677140109, 0.9728877463581834
IOU img(b (36).png)  : 0.9511436740528949
Precision, Recall img(b (36).png)  : 0.9766059338360764, 0.973319923196489
IOU img(a65.png)  : 0.896836203444133
Precision, Recall img(a65.png)  : 0.9446553615118536, 0.9465719841068561
IOU img(b (112).png)  : 0.9169369408589277
Precision, Recall img(b (112).png)  : 0.9864877523301017, 0.9285997707433207
IOU img(b (104).png)  : 0.9259200170176558
Precision, Recall img(b (104).png)  : 0.9883067491627405, 0.9361759328960103
IOU img(a35.png)  : 0.9602890985745834
Precision, Recall img(a35.png)  : 0.9718000812677773, 0.9878154557845608
IOU img(b (108).png)  : 0.860613352447266
Precision, Recall img(b (108).png)  : 0.979374836134821, 0.8764991135676296
